gene,eps,pan_cancer_cluster_number,pan_cancer_distribution,TNBC_distribution,cluster_combination,TNBC_distribution_in_this_cluster,centroid_distance,cluster_separation,total_TNBC_dist_in_cluster
NLRP2,0.2299999999999999,3,"{'0': 995, '-1': 461, '1': 217}","{'0': 17, '-1': 9, '1': 4}","(0, 1)","{0: 17, 1: 4}",4.5141753555117905,2.4121656469765553,21
BCAT1,0.2099999999999999,3,"{'1': 697, '-1': 569, '0': 407}","{'-1': 12, '0': 9, '1': 9}","(0, 1)","{0: 9, 1: 9}",4.488526158175847,1.0555415634840852,18
NLRP2,0.2599999999999999,3,"{'0': 1013, '-1': 372, '1': 288}","{'0': 17, '1': 7, '-1': 6}","(0, 1)","{0: 17, 1: 7}",4.486781781916318,1.8267315554833177,24
BCAT1,0.1999999999999999,3,"{'1': 670, '-1': 603, '0': 400}","{'-1': 12, '0': 9, '1': 9}","(0, 1)","{0: 9, 1: 9}",4.48607528731376,1.278754863955561,18
NLRP2,0.2499999999999999,3,"{'0': 1009, '-1': 396, '1': 268}","{'0': 17, '-1': 7, '1': 6}","(0, 1)","{0: 17, 1: 6}",4.470455985184674,1.9060540081447233,23
NLRP2,0.2699999999999999,3,"{'0': 1018, '-1': 349, '1': 306}","{'0': 17, '1': 7, '-1': 6}","(0, 1)","{0: 17, 1: 7}",4.457343596364031,1.600644122953426,24
NLRP2,0.2399999999999999,3,"{'0': 1005, '-1': 429, '1': 239}","{'0': 17, '-1': 9, '1': 4}","(0, 1)","{0: 17, 1: 4}",4.451968294029925,1.9060540081447233,21
NLRP2,0.2899999999999999,3,"{'0': 1030, '1': 328, '-1': 315}","{'0': 17, '1': 9, '-1': 4}","(0, 1)","{0: 17, 1: 9}",4.44095277914363,1.172923745072148,26
NLRP2,0.2999999999999999,3,"{'0': 1034, '1': 336, '-1': 303}","{'0': 17, '1': 9, '-1': 4}","(0, 1)","{0: 17, 1: 9}",4.4369273023030855,1.0193005559589363,26
NLRP2,0.2799999999999999,3,"{'0': 1024, '-1': 327, '1': 322}","{'0': 17, '1': 8, '-1': 5}","(0, 1)","{0: 17, 1: 8}",4.416604353938018,1.172923745072148,25
NLRP2,0.3199999999999999,3,"{'0': 1046, '1': 348, '-1': 279}","{'0': 17, '1': 9, '-1': 4}","(0, 1)","{0: 17, 1: 9}",4.41515917986596,1.00242673739454,26
NLRP2,0.3099999999999999,3,"{'0': 1039, '1': 344, '-1': 290}","{'0': 17, '1': 9, '-1': 4}","(0, 1)","{0: 17, 1: 9}",4.411746784697879,1.00242673739454,26
