gene,eps,pan_cancer_cluster_number,pan_cancer_distribution,TNBC_distribution,cluster_combination,TNBC_distribution_in_this_cluster,centroid_distance,cluster_separation,tnbc_cluster_proportion
NMU,0.1799999999999999,5,"{'-1': 910, '0': 580, '2': 125, '1': 42, '3': 16}","{'-1': 22, '2': 4, '0': 3, '1': 1}","(0, 2)","{0: 3, 2: 4}",3.6684275583009502,1.4861205973403269,0.13333333333333333
PKP2,0.1999999999999999,4,"{'-1': 716, '0': 483, '1': 432, '2': 42}","{'-1': 14, '1': 9, '0': 6, '2': 1}","(0, 1)","{0: 6, 1: 9}",3.66408394703152,1.2918708610311829,0.3
PKP2,0.1899999999999999,4,"{'-1': 779, '0': 477, '1': 377, '2': 40}","{'-1': 15, '1': 8, '0': 6, '2': 1}","(0, 1)","{0: 6, 1: 8}",3.663451772182053,1.406424368974136,0.26666666666666666
APOL1,0.1699999999999999,6,"{'-1': 1181, '0': 254, '1': 148, '2': 45, '4': 26, '3': 19}","{'-1': 19, '0': 5, '1': 4, '2': 2}","(0, 1)","{0: 5, 1: 4}",3.6624473476173582,1.8021497629263432,0.16666666666666666
VSIR,0.1699999999999999,4,"{'-1': 1109, '0': 220, '2': 185, '1': 159}","{'-1': 19, '2': 6, '0': 3, '1': 2}","(0, 2)","{0: 3, 2: 6}",3.658718722586209,1.729103476393236,0.2
PRKCZ,0.2099999999999999,5,"{'-1': 789, '0': 745, '2': 58, '1': 51, '3': 30}","{'0': 15, '-1': 12, '1': 3}","(0, 1)","{0: 15, 1: 3}",3.6545828703618706,1.6734991753228137,0.5
GSTO2,0.1899999999999999,4,"{'-1': 749, '0': 684, '1': 209, '2': 31}","{'-1': 18, '0': 8, '1': 4}","(0, 1)","{0: 8, 1: 4}",3.65423670134878,1.6303779590859515,0.26666666666666666
PRKCZ,0.2299999999999999,5,"{'0': 825, '-1': 620, '1': 164, '2': 43, '3': 21}","{'0': 17, '-1': 10, '1': 3}","(0, 1)","{0: 17, 1: 3}",3.650456026566154,1.2815138264414545,0.5666666666666667
PKP2,0.1799999999999999,4,"{'-1': 878, '0': 463, '1': 302, '2': 30}","{'-1': 17, '1': 7, '0': 6}","(0, 1)","{0: 6, 1: 7}",3.649097614915547,1.7858751946471525,0.23333333333333334
PPP2R2C,0.2299999999999999,4,"{'0': 932, '-1': 535, '2': 143, '1': 63}","{'-1': 15, '0': 12, '2': 3}","(0, 2)","{0: 12, 2: 3}",3.645186337623988,1.2085402261901534,0.4
PRKCZ,0.2199999999999999,5,"{'0': 796, '-1': 708, '1': 66, '2': 62, '3': 41}","{'0': 17, '-1': 10, '1': 3}","(0, 1)","{0: 17, 1: 3}",3.635564915571755,1.4656635723488118,0.5666666666666667
LXN,0.1899999999999999,3,"{'-1': 769, '1': 527, '0': 377}","{'-1': 16, '1': 9, '0': 5}","(0, 1)","{0: 5, 1: 9}",3.629512155161234,1.3740401274066527,0.3
LXN,0.1999999999999999,4,"{'-1': 705, '1': 535, '0': 416, '2': 17}","{'-1': 14, '1': 9, '0': 6, '2': 1}","(0, 1)","{0: 6, 1: 9}",3.6127165658131366,1.338047760250639,0.3
KYNU,0.1999999999999999,4,"{'0': 793, '-1': 760, '1': 70, '2': 50}","{'0': 15, '-1': 12, '2': 3}","(0, 2)","{0: 15, 2: 3}",3.6066529267429743,1.422233000683048,0.5
TMEM98,0.1899999999999999,5,"{'-1': 708, '2': 411, '1': 310, '3': 154, '0': 90}","{'2': 16, '-1': 8, '3': 4, '0': 1, '1': 1}","(2, 3)","{2: 16, 3: 4}",3.6031433547676466,1.8469776941911973,0.5333333333333333
AREG,0.1899999999999999,6,"{'0': 753, '-1': 746, '1': 85, '2': 31, '3': 30, '4': 28}","{'-1': 17, '0': 9, '1': 3, '3': 1}","(0, 1)","{0: 9, 1: 3}",3.58928331493487,1.0219489728336448,0.3
GSTO2,0.1999999999999999,5,"{'0': 708, '-1': 642, '1': 273, '2': 28, '3': 22}","{'-1': 14, '0': 8, '1': 5, '3': 2, '2': 1}","(0, 1)","{0: 8, 1: 5}",3.588290197389059,1.539102806952791,0.26666666666666666
ALDOC,0.1799999999999999,5,"{'-1': 1168, '0': 329, '1': 96, '3': 53, '2': 27}","{'-1': 18, '0': 5, '1': 4, '3': 3}","(0, 1)","{0: 5, 1: 4}",3.581932143186214,1.6336363474568465,0.16666666666666666
SFRP1,0.2299999999999999,5,"{'0': 1000, '-1': 556, '1': 52, '2': 44, '3': 21}","{'-1': 15, '0': 10, '2': 3, '1': 1, '3': 1}","(0, 2)","{0: 10, 2: 3}",3.5593974149457335,1.038994131615864,0.3333333333333333
GSTO2,0.2099999999999999,3,"{'0': 769, '-1': 578, '1': 326}","{'1': 11, '-1': 10, '0': 9}","(0, 1)","{0: 9, 1: 11}",3.5549621560800952,1.3655059134289669,0.36666666666666664
MAP1LC3A,0.1899999999999999,5,"{'-1': 743, '0': 498, '1': 372, '2': 30, '3': 30}","{'-1': 15, '0': 7, '1': 6, '2': 2}","(0, 1)","{0: 7, 1: 6}",3.551731358801699,1.5010612431122112,0.23333333333333334
ENG,0.1799999999999999,5,"{'-1': 957, '0': 474, '2': 144, '1': 56, '3': 42}","{'-1': 19, '2': 5, '0': 5, '1': 1}","(0, 2)","{0: 5, 2: 5}",3.544181112177955,1.3773048519237356,0.16666666666666666
DAPP1,0.2599999999999999,6,"{'0': 947, '-1': 398, '1': 229, '2': 55, '3': 30, '4': 14}","{'0': 17, '1': 7, '-1': 3, '2': 2, '4': 1}","(0, 1)","{0: 17, 1: 7}",3.5254640711512173,1.0517614276897416,0.5666666666666667
ALDOC,0.1899999999999999,8,"{'-1': 949, '0': 405, '1': 117, '4': 78, '3': 45, '6': 31, '2': 26, '5': 22}","{'-1': 12, '0': 7, '1': 5, '4': 3, '3': 2, '6': 1}","(0, 1)","{0: 7, 1: 5}",3.517490654728174,1.5116458230782357,0.23333333333333334
DAPP1,0.2399999999999999,5,"{'0': 891, '-1': 559, '1': 156, '2': 37, '3': 30}","{'0': 17, '-1': 6, '1': 6, '2': 1}","(0, 1)","{0: 17, 1: 6}",3.5137082603600573,1.4607557995846796,0.5666666666666667
