,Unnamed: 0,gene,eps,pan_cancer_cluster_number,pan_cancer_distribution,TNBC_distribution,cluster_combination,TNBC_distribution_in_this_cluster,centroid_distance,cluster_separation
342245,1597,SLC2A3,0.1899999999999999,4,"{'-1': 856, '1': 390, '0': 382, '2': 45}","{'1': 13, '-1': 12, '0': 4, '2': 1}","(0, 1)","{0: 4, 1: 13}",4.07149675456146,1.0389356625469433
343476,2828,GNA15,0.2199999999999999,3,"{'0': 976, '-1': 532, '1': 165}","{'0': 14, '-1': 13, '1': 3}","(0, 1)","{0: 14, 1: 3}",3.780469042463944,2.063325935368829
343479,2831,GNA15,0.2299999999999999,3,"{'0': 991, '-1': 477, '1': 205}","{'0': 14, '-1': 13, '1': 3}","(0, 1)","{0: 14, 1: 3}",3.8025750056884178,1.8311688609505936
343482,2834,GNA15,0.2399999999999999,3,"{'0': 1000, '-1': 425, '1': 248}","{'0': 15, '-1': 10, '1': 5}","(0, 1)","{0: 15, 1: 5}",3.8672927046896226,1.5573502695132964
343485,2837,GNA15,0.2499999999999999,3,"{'0': 1007, '-1': 391, '1': 275}","{'0': 16, '-1': 9, '1': 5}","(0, 1)","{0: 16, 1: 5}",3.896859443751936,1.458270495805294
343794,3277,PTPRU,0.1999999999999999,6,"{'-1': 835, '0': 481, '1': 155, '2': 139, '3': 38, '4': 25}","{'-1': 13, '0': 11, '1': 3, '2': 1, '4': 1, '3': 1}","(0, 1)","{0: 11, 1: 3}",3.7552455517377976,1.6809315592518783
344703,4333,BCAT1,0.1799999999999999,7,"{'-1': 775, '1': 398, '0': 373, '3': 61, '2': 32, '4': 24, '5': 10}","{'-1': 17, '0': 7, '3': 3, '1': 2, '2': 1}","(0, 3)","{0: 7, 3: 3}",4.662089408240678,3.1276761539154156
344722,4352,BCAT1,0.1899999999999999,3,"{'-1': 654, '1': 630, '0': 389}","{'-1': 14, '0': 9, '1': 7}","(0, 1)","{0: 9, 1: 7}",4.5375412899421494,1.4630846736859526
344725,4355,BCAT1,0.1999999999999999,3,"{'1': 670, '-1': 603, '0': 400}","{'-1': 12, '0': 9, '1': 9}","(0, 1)","{0: 9, 1: 9}",4.48607528731376,1.278754863955561
344728,4358,BCAT1,0.2099999999999999,3,"{'1': 697, '-1': 569, '0': 407}","{'-1': 12, '0': 9, '1': 9}","(0, 1)","{0: 9, 1: 9}",4.488526158175847,1.0555415634840852
346132,1721,CDH3,0.1899999999999999,4,"{'0': 802, '-1': 721, '1': 120, '2': 30}","{'-1': 20, '0': 7, '1': 3}","(0, 1)","{0: 7, 1: 3}",5.044000053818988,2.61031807499805
346138,1727,CDH3,0.1999999999999999,4,"{'0': 813, '-1': 674, '1': 137, '2': 49}","{'-1': 18, '0': 7, '1': 5}","(0, 1)","{0: 7, 1: 5}",5.05178378356725,2.492138467716401
346144,1733,CDH3,0.2099999999999999,3,"{'0': 823, '-1': 620, '1': 230}","{'-1': 18, '0': 7, '1': 5}","(0, 1)","{0: 7, 1: 5}",5.640132955531128,2.404927471634003
346147,1736,CDH3,0.2199999999999999,3,"{'0': 828, '-1': 568, '1': 277}","{'-1': 17, '0': 8, '1': 5}","(0, 1)","{0: 8, 1: 5}",5.5195708037864435,2.3616742736801184
346150,1739,CDH3,0.2299999999999999,3,"{'0': 842, '-1': 508, '1': 323}","{'-1': 14, '1': 8, '0': 8}","(0, 1)","{0: 8, 1: 8}",5.599097898321555,1.9412243276376413
346153,1742,CDH3,0.2399999999999999,3,"{'0': 853, '-1': 478, '1': 342}","{'-1': 12, '1': 10, '0': 8}","(0, 1)","{0: 8, 1: 10}",5.58019421049279,1.7579615266581758
350417,2052,LIMCH1,0.1799999999999999,6,"{'-1': 898, '1': 382, '0': 228, '2': 83, '3': 42, '4': 40}","{'-1': 19, '0': 6, '1': 3, '4': 1, '2': 1}","(0, 1)","{0: 6, 1: 3}",4.864006671279739,2.8323513936466735
357703,2767,ERBB3,0.1699999999999999,3,"{'-1': 904, '0': 558, '1': 211}","{'-1': 23, '0': 4, '1': 3}","(0, 1)","{0: 4, 1: 3}",5.1316812492304384,2.7195789619691633
357706,2770,ERBB3,0.1799999999999999,4,"{'-1': 758, '0': 603, '1': 292, '2': 20}","{'-1': 16, '1': 8, '0': 6}","(0, 1)","{0: 6, 1: 8}",5.069897930153617,2.2894216703323647
357712,2776,ERBB3,0.1899999999999999,4,"{'-1': 640, '0': 620, '1': 368, '2': 45}","{'-1': 12, '1': 9, '0': 8, '2': 1}","(0, 1)","{0: 8, 1: 9}",4.9640330654999145,1.413210146227837
359963,750,GSTO2,0.1899999999999999,4,"{'-1': 749, '0': 684, '1': 209, '2': 31}","{'-1': 18, '0': 8, '1': 4}","(0, 1)","{0: 8, 1: 4}",3.65423670134878,1.6303779590859515
359969,756,GSTO2,0.1999999999999999,5,"{'0': 708, '-1': 642, '1': 273, '2': 28, '3': 22}","{'-1': 14, '0': 8, '1': 5, '3': 2, '2': 1}","(0, 1)","{0: 8, 1: 5}",3.588290197389059,1.539102806952791
359979,766,GSTO2,0.2099999999999999,3,"{'0': 769, '-1': 578, '1': 326}","{'1': 11, '-1': 10, '0': 9}","(0, 1)","{0: 9, 1: 11}",3.5549621560800952,1.3655059134289669
365854,3206,TMEM98,0.1799999999999999,6,"{'-1': 839, '1': 377, '0': 226, '3': 133, '2': 74, '4': 24}","{'1': 14, '-1': 11, '3': 3, '2': 1, '0': 1}","(1, 3)","{1: 14, 3: 3}",3.79056699306803,2.16533773194666
365870,3222,TMEM98,0.1899999999999999,5,"{'-1': 708, '2': 411, '1': 310, '3': 154, '0': 90}","{'2': 16, '-1': 8, '3': 4, '0': 1, '1': 1}","(2, 3)","{2: 16, 3: 4}",3.6031433547676466,1.8469776941911973
365873,3225,TMEM98,0.1999999999999999,3,"{'-1': 654, '0': 605, '1': 414}","{'1': 16, '-1': 8, '0': 6}","(0, 1)","{0: 6, 1: 16}",5.120282734476593,1.7339057944171476
367638,1537,FGFR2,0.1899999999999999,5,"{'0': 766, '-1': 750, '1': 66, '3': 57, '2': 34}","{'-1': 15, '0': 10, '1': 3, '3': 2}","(0, 1)","{0: 10, 1: 3}",3.8172438659755112,2.162271428898877
367648,1547,FGFR2,0.1999999999999999,6,"{'0': 778, '-1': 673, '1': 78, '3': 59, '2': 55, '4': 30}","{'-1': 15, '0': 10, '1': 3, '3': 2}","(0, 1)","{0: 10, 1: 3}",3.833519594015839,1.9312872499159857
372154,2122,TRO,0.2199999999999999,3,"{'0': 850, '-1': 647, '1': 176}","{'0': 20, '-1': 6, '1': 4}","(0, 1)","{0: 20, 1: 4}",3.1951677530586537,1.3098552625867872
372768,2736,PRKCZ,0.1999999999999999,4,"{'-1': 863, '0': 718, '2': 46, '1': 46}","{'0': 15, '-1': 12, '1': 3}","(0, 1)","{0: 15, 1: 3}",3.7018978502939,1.8452304722635744
372774,2742,PRKCZ,0.2099999999999999,5,"{'-1': 789, '0': 745, '2': 58, '1': 51, '3': 30}","{'0': 15, '-1': 12, '1': 3}","(0, 1)","{0: 15, 1: 3}",3.6545828703618706,1.6734991753228137
372784,2752,PRKCZ,0.2199999999999999,5,"{'0': 796, '-1': 708, '1': 66, '2': 62, '3': 41}","{'0': 17, '-1': 10, '1': 3}","(0, 1)","{0: 17, 1: 3}",3.635564915571755,1.4656635723488118
372794,2762,PRKCZ,0.2299999999999999,5,"{'0': 825, '-1': 620, '1': 164, '2': 43, '3': 21}","{'0': 17, '-1': 10, '1': 3}","(0, 1)","{0: 17, 1: 3}",3.650456026566154,1.2815138264414545
